timestamp,log_type,message
0,Log,Loaded: D:\shanaa\repos\unity-reachToTarget-remake\UFile-reachToTarget-remake\data\participant_list_vA.csv
0.02,Warning,"A Canvas named ""[UXF_UI]"" with a render mode of ScreenSpaceOverlay is being used while VR is also enabled. This Canvas will continue to incur a rendering cost but will not be visible while in VR. Is this intentional?"
13.59355,Log,Updating: D:\shanaa\repos\unity-reachToTarget-remake\UFile-reachToTarget-remake\data\participant_list_vA.csv
533.741,Log,Home Position Transformed: (0.2421607 0.9498754 0.4204176)
555.34,Log,Home Position Transformed: (0.2450328 0.950036 0.4208063)
557.9626,Log,running end and prepare
559.4705,Log,Reach Time: 1.5
561.3484,Log,Reach Time: 0.9599609
563.3041,Log,Reach Time: 1.140015
564.9818,Log,Reach Time: 0.7999878
566.4819,Log,Reach Time: 0.7999878
568.0487,Log,Reach Time: 0.9199829
569.504,Log,Reach Time: 0.8800049
571.0709,Log,Reach Time: 1
572.6044,Log,Reach Time: 0.9599609
574.1486,Log,Reach Time: 0.8800049
575.7711,Log,Reach Time: 0.960022
577.5264,Log,Reach Time: 0.7599487
579.1711,Log,Reach Time: 1.140015
581.2046,Log,Reach Time: 1.460022
582.7708,Log,Reach Time: 0.8600464
584.4712,Log,Reach Time: 1.019958
586.6487,Log,Reach Time: 1.620056
588.3823,Log,Reach Time: 1.179993
589.8601,Log,Reach Time: 0.960022
591.4045,Log,Reach Time: 0.9799805
593.1045,Log,Reach Time: 1.140015
594.949,Log,Reach Time: 1.26001
596.5602,Log,Reach Time: 1.080017
598.2823,Log,Reach Time: 1.179993
599.849,Log,Reach Time: 1.059998
601.327,Log,Reach Time: 0.9400024
602.849,Log,Reach Time: 0.9199829
604.3826,Log,Reach Time: 0.9800415
605.9048,Log,Reach Time: 1
607.4269,Log,Reach Time: 0.9799805
609.0271,Log,Reach Time: 1.079956
610.5609,Log,Reach Time: 0.9800415
612.1047,Log,Reach Time: 0.9799805
614.3492,Log,Reach Time: 1.659973
615.8268,Log,Reach Time: 0.9400024
617.3824,Log,Reach Time: 0.9000244
618.9825,Log,Reach Time: 0.960022
620.7047,Log,Reach Time: 1.080017
622.5826,Log,Reach Time: 1.219971
624.3829,Log,Reach Time: 1.26001
625.627,Log,Reach Time: 0.6199951
627.2271,Log,Reach Time: 0.5199585
628.5826,Log,Reach Time: 0.539978
629.8493,Log,Reach Time: 0.5
631.1492,Log,Reach Time: 0.5200195
632.3826,Log,Reach Time: 0.5400391
633.5494,Log,Reach Time: 0.460022
634.7605,Log,Reach Time: 0.4800415
636.0051,Log,Reach Time: 0.5400391
637.2828,Log,Reach Time: 0.539978
638.5271,Log,Reach Time: 0.4400024
639.6605,Log,Reach Time: 0.4599609
641.2051,Log,Reach Time: 0.7200317
642.5828,Log,Reach Time: 0.7599487
643.9272,Log,Reach Time: 0.7600098
645.8494,Log,Reach Time: 1.399963
647.105,Log,Reach Time: 0.6799927
648.4827,Log,Reach Time: 0.6599731
649.7495,Log,Reach Time: 0.6400146
651.105,Log,Reach Time: 0.6400146
652.6497,Log,Reach Time: 0.8400269
653.883,Log,Reach Time: 0.7399902
655.1498,Log,Reach Time: 0.7200317
656.7498,Log,Reach Time: 1
658.1052,Log,Reach Time: 0.7199707
659.4834,Log,Reach Time: 0.8399658
660.0275,Log,setting to flat. current r_x: 0
663.4496,Log,Reach Time: 3.420044
665.0052,Log,Reach Time: 0.8400269
666.2054,Log,Reach Time: 0.5200195
667.2607,Log,Reach Time: 0.5
668.383,Log,Reach Time: 0.4800415
669.5051,Log,Reach Time: 0.460022
670.7827,Log,Reach Time: 0.4400024
672.0829,Log,Reach Time: 0.4799805
673.5275,Log,Reach Time: 0.3799438
674.8495,Log,Reach Time: 0.3800049
676.0493,Log,Reach Time: 0.460022
677.2826,Log,Reach Time: 0.4599609
679.3831,Log,Reach Time: 1.220032
680.9276,Log,Reach Time: 0.8800049
682.2607,Log,Reach Time: 0.8000488
683.7612,Log,Reach Time: 0.8200073
685.1276,Log,Reach Time: 0.7800293
686.4281,Log,Reach Time: 0.7000122
687.8057,Log,Reach Time: 0.7200317
689.206,Log,Reach Time: 0.8400269
690.5836,Log,Reach Time: 0.8199463
691.9502,Log,Reach Time: 0.7800293
693.2614,Log,Reach Time: 0.7600098
694.7612,Log,Reach Time: 0.9000244
696.0836,Log,Reach Time: 0.7999878
697.4506,Log,Reach Time: 0.7800293
698.5057,Log,Reach Time: 0.5
699.6503,Log,Reach Time: 0.4000244
700.728,Log,Reach Time: 0.4199829
701.8503,Log,Reach Time: 0.3399658
702.9504,Log,Reach Time: 0.4400024
704.0278,Log,Reach Time: 0.4199829
705.228,Log,Reach Time: 0.3399658
706.3058,Log,Reach Time: 0.4199829
707.5058,Log,Reach Time: 0.2399902
708.6057,Log,Reach Time: 0.4400024
710.2057,Log,Reach Time: 0.3400269
711.3281,Log,Reach Time: 0.4400024
712.9503,Log,Reach Time: 0.8600464
714.3504,Log,Reach Time: 0.7600098
716.2059,Log,Reach Time: 1.040039
717.4059,Log,Reach Time: 0.6999512
