directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targetAngle,type,cursor_rotation,target_vertPos,plane_setting,exp_version,home_x,home_y,home_z,trackerholderobject_movement_filename
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,1,1,1,20.97155,23.2082,90,instruction,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T001.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,2,2,1,23.2082,26.03784,85,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T002.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,3,2,2,27.3046,28.50468,95,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T003.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,4,2,3,29.44931,30.43809,85,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T004.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,5,2,4,31.30505,32.26046,95,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T005.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,6,2,5,33.09363,34.02705,95,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T006.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,7,2,6,35.16053,36.02713,85,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T007.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,8,2,7,36.8492,37.84927,85,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T008.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,9,2,8,38.78257,39.70487,95,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T009.csv
reachWithPlane_A/002/S001,reachWithPlane_A,002,1,10,2,9,40.56021,41.40498,85,aligned,0,0,none,A,0.250781,0.9510624,0.4222822,trackerholderobject_movement_T010.csv
