time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
363.7469,0.2474,0.9347,0.4268,3.1868,248.0533,280.7532
363.7597,0.2475,0.9347,0.4269,3.2759,248.0707,280.7676
363.7691,0.2475,0.9347,0.4269,3.2165,248.1722,280.6993
363.78,0.2474,0.9347,0.4268,3.189,248.2093,280.7367
363.7911,0.2473,0.9348,0.4266,3.1731,248.1905,280.8338
363.8023,0.2473,0.935,0.4266,3.1352,248.2332,280.8892
363.8134,0.2473,0.9351,0.4267,3.138,248.3444,280.9205
363.8249,0.2473,0.9352,0.4267,3.0937,248.3833,280.9933
363.8405,0.2475,0.9353,0.4268,3.0675,248.4476,281.0282
363.8468,0.2476,0.9353,0.4269,3.1015,248.5496,281.0923
363.8579,0.2479,0.9354,0.427,3.0885,248.7084,281.113
363.8688,0.2483,0.9357,0.4271,3.0907,248.9171,281.1536
363.88,0.2486,0.9358,0.4272,3.1419,249.1114,281.2626
363.8914,0.2489,0.9361,0.4272,3.1573,249.2776,281.3849
363.9023,0.2492,0.9364,0.4271,3.0704,249.4234,281.5071
363.9135,0.2494,0.9366,0.4271,3.0453,249.5307,281.6245
363.9246,0.2496,0.9368,0.4271,3.0675,249.645,281.7275
363.9359,0.2498,0.9369,0.4271,3.129,249.7652,281.8039
363.9467,0.2499,0.9371,0.4271,3.0929,249.8156,281.8856
363.9579,0.2501,0.9372,0.4272,3.1238,249.8919,281.9415
363.9691,0.2501,0.9374,0.4274,3.104,249.9076,281.9897
363.9804,0.2501,0.9375,0.4275,3.143,249.9176,282.0301
363.9959,0.25,0.9375,0.4277,3.2514,249.892,282.0392
364.0024,0.2498,0.9376,0.4279,3.3562,249.8177,282.0372
364.0134,0.2495,0.9377,0.428,3.4757,249.7071,282.045
364.0246,0.249,0.9378,0.428,3.5939,249.4338,282.0599
364.0356,0.2483,0.9379,0.4281,3.6943,249.1346,282.0886
364.0469,0.2476,0.938,0.428,3.7862,248.7357,282.0864
364.0581,0.2466,0.9381,0.4281,3.9533,248.266,282.0642
364.0691,0.2455,0.9381,0.4283,4.061,247.8666,281.7392
364.0801,0.2444,0.9382,0.4285,4.1272,247.4513,281.5027
364.0914,0.243,0.9385,0.4289,4.3324,247.0449,281.6493
364.1024,0.2416,0.9385,0.4297,4.565,246.7931,281.4018
364.1136,0.2402,0.9386,0.4308,4.5691,246.6027,281.193
364.1245,0.2388,0.939,0.4325,4.757,246.8804,281.5308
364.1358,0.2376,0.9397,0.435,4.7722,247.6296,282.1326
364.1515,0.2365,0.9406,0.4384,4.6217,248.6925,282.6435
364.1581,0.2353,0.9413,0.4417,4.5503,249.5471,282.9514
364.169,0.2339,0.942,0.445,4.5897,249.9677,283.1552
364.1803,0.2321,0.9424,0.4478,4.7581,249.9039,283.2276
364.1914,0.2301,0.9428,0.4506,4.9443,249.6965,283.2217
364.2026,0.2279,0.9431,0.4533,5.0515,249.3365,283.023
364.2137,0.2257,0.9433,0.4563,5.0919,249.0688,282.749
364.2248,0.2233,0.9435,0.4593,5.131,248.8032,282.469
364.236,0.2209,0.9437,0.4623,5.2558,248.6125,282.2773
364.247,0.2184,0.9439,0.4653,5.5545,248.4955,282.2734
364.2581,0.2159,0.9441,0.4684,5.8875,248.5064,282.4227
364.2691,0.2134,0.9442,0.4716,6.3128,248.5934,282.6067
364.2804,0.2109,0.9442,0.4746,6.7443,248.5744,282.6638
364.2917,0.2083,0.944,0.4776,7.1917,248.4857,282.642
364.3069,0.2056,0.9438,0.4804,7.5818,248.3246,282.5959
364.3137,0.203,0.9436,0.4831,7.9418,248.1476,282.5288
364.3247,0.2005,0.9433,0.4857,8.1946,247.9712,282.3707
364.3358,0.1981,0.9429,0.4883,8.4251,247.8459,282.1214
364.3468,0.1957,0.9425,0.4908,8.6754,247.7928,281.9017
364.3582,0.1934,0.9421,0.4931,8.9508,247.7884,281.8404
364.3691,0.1912,0.9418,0.4952,9.2574,247.7638,281.9041
364.3802,0.189,0.9414,0.4972,9.561,247.7333,281.9019
364.3914,0.187,0.9408,0.4991,9.855,247.6482,281.7371
364.4025,0.1851,0.9401,0.5009,10.1329,247.5519,281.4804
364.4135,0.1833,0.9395,0.5026,10.4056,247.4777,281.2839
364.4247,0.1816,0.9388,0.504,10.6816,247.367,281.2196
364.4357,0.18,0.9381,0.5053,10.9827,247.2215,281.1396
364.4471,0.1785,0.9373,0.5064,11.2527,247.0526,280.9736
364.4626,0.177,0.9366,0.5075,11.5121,246.8934,280.8303
364.4691,0.1756,0.9359,0.5084,11.711,246.7786,280.8174
364.4802,0.1743,0.9354,0.5093,11.8393,246.7336,280.8603
364.4914,0.1731,0.9348,0.5101,11.9241,246.6803,280.7971
364.5024,0.1719,0.9341,0.5108,11.9419,246.5925,280.6216
364.5135,0.1708,0.9334,0.5114,11.9443,246.4869,280.4109
364.5247,0.1697,0.9327,0.5119,11.9784,246.4228,280.2245
364.5358,0.1687,0.9321,0.5121,12.1336,246.3026,280.0494
364.5471,0.1676,0.9316,0.512,12.3669,246.165,280.039
364.5581,0.1664,0.9311,0.5118,12.6723,245.9973,280.1011
364.5693,0.1653,0.9308,0.5114,12.9971,245.7988,280.2021
364.5803,0.1643,0.9305,0.5109,13.2907,245.6201,280.3321
364.5913,0.1633,0.9303,0.5103,13.5083,245.4047,280.3823
364.6028,0.1623,0.9301,0.5097,13.6404,245.1804,280.3061
364.6182,0.1614,0.9299,0.5091,13.7443,244.9746,280.2315
364.6247,0.1606,0.9299,0.5084,13.739,244.7594,280.1607
364.6359,0.1599,0.93,0.5077,13.6887,244.5569,280.2006
364.647,0.1592,0.9303,0.507,13.6611,244.3354,280.3111
364.6579,0.1585,0.9304,0.5063,13.6563,244.1353,280.3545
364.6693,0.158,0.9305,0.5058,13.653,243.9922,280.2835
364.6804,0.1577,0.9306,0.5056,13.6742,243.9647,280.1734
364.6915,0.1574,0.9307,0.5055,13.7284,243.9934,280.1595
364.7026,0.1572,0.931,0.5054,13.8345,244.0831,280.3016
364.7141,0.1571,0.9313,0.5053,13.9366,244.141,280.5109
364.7249,0.1569,0.9317,0.5051,14.0283,244.1507,280.6777
364.7361,0.1569,0.9321,0.505,14.0287,244.1388,280.7163
364.7472,0.1569,0.9325,0.5049,13.9156,244.1575,280.6982
364.7586,0.1569,0.9329,0.5049,13.8038,244.1932,280.6974
364.7735,0.1569,0.9333,0.5049,13.6893,244.2348,280.7283
