directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,targetAngle,type,cursor_rotation,target_vertPos,plane_setting,exp_version,home_x,home_y,home_z,trackerholderobject_movement_filename,selected
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,1,1,1,9.660676,11.32001,90,instruction,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T001.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,2,2,1,11.32001,13.15055,85,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T002.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,3,2,2,13.98369,14.75022,95,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T003.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,4,2,3,15.45029,16.38379,85,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T004.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,5,2,4,17.08363,17.73881,95,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T005.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,6,2,5,18.38333,18.9834,85,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T006.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,7,2,6,19.5389,20.16119,95,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T007.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,8,2,7,20.76119,21.60574,85,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T008.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,9,2,8,22.22799,22.82835,95,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T009.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,10,2,9,23.40566,23.95,95,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T010.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,11,2,10,24.5057,25.65026,85,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T011.csv,1
reachWithPlane_A/003/S001,reachWithPlane_A,3,1,12,2,11,26.22806,26.82803,95,aligned,0,0,none,A,0.2517425,0.933684,0.4287798,trackerholderobject_movement_T012.csv,1
